date, pm25, pm10, o3, no2, so2, co
2024/11/1, 56, 21, , 15, , 
2024/11/2, 61, 14, , 13, , 
2024/11/3, 47, 30, , 16, , 
2024/11/4, 76, 35, , 16, , 
2024/11/5, 84, 26, , 15, , 
2024/11/6, 65, 26, , 16, , 
2024/11/7, 76, 25, , 14, , 
2024/11/8, 73, 26, , 14, , 
2024/11/9, 71, 35, , 14, , 
2024/11/10, 89, 17, , 14, , 
2024/11/11, 42, 20, , 14, , 
2024/11/12, 68, 16, , 15, , 
2024/11/13, 53, 21, , 19, , 
2024/11/14, 65, 24, , 22, , 
2024/11/15, 61, 14, , 14, , 
2024/11/16, 37, 20, , 8, , 
2024/11/17, 59, 6, , 11, , 
2024/11/18, 9, , , , , 
2024/10/1, 30, 14, 22, 19, , 
2024/10/2, 40, 9, 21, 10, , 
2024/10/3, 35, 8, 20, 8, , 
2024/10/4, 6, 12, 27, 14, , 
2024/10/5, 14, 12, 18, 12, , 
2024/10/6, 30, 15, 8, 13, , 
2024/10/7, 60, 11, 16, 16, , 
2024/10/8, 39, 12, 9, 15, , 
2024/10/9, 31, 10, 24, 16, , 
2024/10/10, 23, 10, 28, 17, , 
2024/10/11, 35, 16, 12, 14, , 
2024/10/12, 49, 13, 26, 11, , 
2024/10/13, 35, 15, 13, 16, , 
2024/10/14, 41, 18, 10, 15, , 
2024/10/15, 62, 16, 10, 16, , 
2024/10/16, 46, 27, 4, 19, , 
2024/10/17, 74, 30, 5, 18, , 
2024/10/18, 75, 28, 15, 13, , 
2024/10/19, 70, 29, 10, 13, , 
2024/10/20, 66, 23, 10, 14, , 
2024/10/21, 58, 17, 24, 16, , 
2024/10/22, 40, 23, 20, 19, , 
2024/10/23, 52, 25, 12, 18, , 
2024/10/24, 66, 23, 7, 16, , 
2024/10/25, 56, 25, 7, 15, , 
2024/10/26, 73, 42, 8, 14, , 
2024/10/27, 83, 32, , 14, , 
2024/10/28, 76, 22, , 17, , 
2024/10/29, 57, 31, , 18, , 
2024/10/30, 76, 28, , 16, , 
2024/10/31, 75, 19, , 13, , 
2024/7/1, 47, 9, 30, 11, , 
2024/7/2, 19, 14, 23, 11, , 
2024/7/3, 23, 7, 28, 9, , 
2024/7/4, 12, 1, 29, 11, , 
2024/7/5, 5, 11, 29, 13, , 
2024/7/6, 43, 3, 29, 7, , 
2024/7/7, 14, 5, 33, 14, , 
2024/7/8, 17, 8, 42, 19, , 
2024/7/9, 39, 9, 38, 15, , 
2024/7/10, 48, 15, 33, 14, , 
2024/7/11, 34, 15, 34, 15, , 
2024/7/12, 32, 7, 32, 8, , 
2024/7/13, 21, 9, 37, 8, , 
2024/7/14, 14, 14, 47, 14, , 
2024/7/15, 12, 18, 44, 10, , 
2024/7/16, 23, 14, 35, 10, , 
2024/7/17, 14, 12, 46, 13, , 
2024/7/18, 20, 15, 52, 16, , 
2024/7/19, 18, 27, 72, 17, , 
